ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-09-18T08:46:55Z,ios,18474,US,96.76.206.141,Ask Me,Duck Sauce,Ask Me / Mesmerize,spotify:track:05QGJav2nGJ9qdQ3vG9A9t,,,,,,,,clickrow,fwdbtn,false,true,false,1695026797,false
2023-09-18T08:46:57Z,ios,1493,US,96.76.206.141,What You Say?,Young Marco,What You Say?,spotify:track:22quZFeltYbo325rn3ktTe,,,,,,,,fwdbtn,fwdbtn,false,true,false,1695026816,false
2023-09-18T08:46:58Z,ios,362,US,96.76.206.141,Music Sounds Better With You - Radio Edit,Stardust,Music Sounds Better With You,spotify:track:1mv4lh1rW1K6xhxhJmEezy,,,,,,,,fwdbtn,endplay,false,true,false,1695026818,false
2023-09-18T08:47:07Z,ios,8682,US,96.76.206.141,Gatluak - Bakermat Remix,Kronan,Gatluak,spotify:track:0GT2hQQ6mdHeW0AZDl5NlJ,,,,,,,,fwdbtn,endplay,false,true,false,1695026819,false
2023-09-18T08:47:10Z,ios,2581,US,96.76.206.141,Tears In Ibiza (feat. AR/CO),The Stickmen Project,Tears In Ibiza (feat. AR/CO),spotify:track:7A0xA68c4NiTvbWWAsIsoN,,,,,,,,clickrow,endplay,false,true,false,1695026827,false
2023-09-18T08:48:29Z,ios,78357,US,96.76.206.141,Sneak Away With Me,kryptogram,krypt. vol2,spotify:track:3K6bXkYcEEj0Yjadvr0cHN,,,,,,,,clickrow,endplay,false,true,false,1695026830,false
2023-09-18T09:56:12Z,ios,22400,US,96.76.206.141,La Danza,John Summit,La Danza,spotify:track:2FEUloDXMvRnyfLcsrCfkw,,,,,,,,clickrow,endplay,false,true,false,1695026909,false
2023-09-18T09:58:45Z,ios,154190,US,96.76.206.141,Here for the First Time,Juniper,Here for the First Time,spotify:track:1GuyKcjBA0F3CbUzPFzouH,,,,,,,,clickrow,trackdone,true,false,false,1695030972,false
2023-09-18T10:01:45Z,ios,182147,US,96.76.206.141,Techno Show,Peach Pit,Being So Normal,spotify:track:0a0EYuSVqeVqV8kjN9bFYC,,,,,,,,trackdone,unexpected-exit-while-paused,true,false,false,1695031122,false
2023-09-18T17:59:05Z,ios,127902,US,136.152.143.1,Sweet Thing,Twin Peaks,Wild Onion,spotify:track:4hen3qSVNAgtmU0g6IHtVh,,,,,,,,fwdbtn,trackdone,true,false,false,1695059818,false
2023-09-18T18:03:38Z,ios,275139,US,136.152.143.1,Us and the Rainbow,Babe Rainbow,Today,spotify:track:5zfhYnSCXbxyDfnJOawsug,,,,,,,,trackdone,trackdone,true,false,false,1695059943,false
2023-09-18T18:05:21Z,ios,104617,US,136.152.143.1,The Difference,Flume,The Difference,spotify:track:4nlvKIIetOWGIMyhjQXgOZ,,,,,,,,trackdone,unexpected-exit-while-paused,true,false,false,1695060215,false
2023-09-18T19:05:07Z,ios,213394,US,136.152.143.1,"Freed From Desire - prod. Molella, Phil Jay",Gala,Come Into My Life (The Album),spotify:track:3u5N55tHf7hXATSQrjBh2q,,,,,,,,clickrow,trackdone,false,false,false,1695063695,false
2023-09-18T19:08:25Z,ios,200550,US,136.152.143.1,Lauren (I Can't Stay Forever),Oden & Fatzo,Lauren (I Can't Stay Forever),spotify:track:33tYADyL2aZctrvR59K1bQ,,,,,,,,trackdone,trackdone,false,false,false,1695063905,false
2023-09-18T19:09:18Z,ios,55044,US,136.152.143.1,Feel My Needs - Purple Disco Machine Remix,WEISS,Feel My Needs (Purple Disco Machine Remix),spotify:track:3RiRFyvasDtAv8n0AQUKFG,,,,,,,,trackdone,unexpected-exit-while-paused,false,false,false,1695064103,false
2023-09-18T20:01:12Z,ios,6240,US,136.152.143.1,Just Like a Movie,Wallows,Trust Fall / Just Like A Movie,spotify:track:0Jgbauc8Nv2OOjR5ERW28B,,,,,,,,playbtn,endplay,true,true,false,1695067266,false
2023-09-18T20:02:00Z,ios,48460,US,136.152.143.1,For the First Time,Mac DeMarco,This Old Dog,spotify:track:2R4AlwtrrkMaRKojcTIzmL,,,,,,,,playbtn,fwdbtn,true,true,false,1695067273,false
2023-09-18T20:06:23Z,ios,264066,US,136.152.143.1,Karma Police,Radiohead,OK Computer,spotify:track:63OQupATfueTdZMWTxW03A,,,,,,,,fwdbtn,trackdone,true,false,false,1695067321,false
2023-09-18T20:59:17Z,ios,231723,US,136.152.143.1,Chamber Of Reflection,Mac DeMarco,Salad Days,spotify:track:7H7NyZ3G075GqPx2evsfeb,,,,,,,,trackdone,trackdone,true,false,false,1695067581,false
2023-09-18T21:02:33Z,ios,198600,US,136.152.143.1,Silver Lining,Mt. Joy,Mt. Joy,spotify:track:0i5QVxsK3IvEDbUjTA64Li,,,,,,,,trackdone,trackdone,true,false,false,1695070755,false
2023-09-18T21:05:57Z,ios,196573,US,136.152.143.1,Between Love & Hate,The Strokes,Room On Fire,spotify:track:5OmumaYiHYXUsYZPGLFTYJ,,,,,,,,trackdone,trackdone,true,false,false,1695070951,false
2023-09-18T22:21:51Z,ios,224333,US,96.76.206.141,Hard To Explain,The Strokes,Is This It,spotify:track:0OM9ri37LIbPc9hffwsyb1,,,,,,,,trackdone,trackdone,true,false,false,1695071155,false
2023-09-18T23:44:56Z,ios,181586,US,136.152.143.2,Still Beating,Mac DeMarco,This Old Dog,spotify:track:4LpUpiYoZ2M3Z1kmhn4EQo,,,,,,,,trackdone,trackdone,true,false,false,1695075709,false
2023-09-18T23:48:37Z,ios,223866,US,136.152.143.2,Sheep,Mt. Joy,Mt. Joy,spotify:track:2fEcMBdl3BUmPclvQKSBfV,,,,,,,,trackdone,trackdone,true,false,false,1695080694,false
2023-09-18T23:51:44Z,ios,189400,US,136.152.143.2,Pork And Beans,Weezer,Weezer,spotify:track:7wclPheMJAUKn2njmO2s3A,,,,,,,,trackdone,trackdone,true,false,false,1695080915,false
2023-09-18T23:56:18Z,ios,276506,US,136.152.143.2,On the Other Side,The Strokes,First Impressions Of Earth,spotify:track:6oqJLFTbJ6PkgPfU0Mtjix,,,,,,,,trackdone,trackdone,true,false,false,1695081102,false
